Country Name,ISO_A3,ESS Index,1. Risk,2. Labor,3. Resources,4. Health,5. Land,6. Biodiversity,7. Inclusion,8. Heritage,9. Climate,10. Engagement
Malta,MLT,3.92,2.7,3.2,5.9,4.3,3.1,5.2,2.8,5.6,3.2,3.2
Myanmar,MMR,7.75,8.2,8.4,9,6.8,7.6,6.8,8.5,7.6,7.3,7.3
Montenegro,MNE,4.27,3.9,3.7,4.3,3.6,5.5,5.2,3.9,4.6,4,4
Mongolia,MNG,4.86,3.6,4.9,5.9,4,5.6,4,3.5,5.9,5.6,5.6
Mozambique,MOZ,6.70,7,8.3,7,8.7,6.6,6.4,6.3,4.1,6.3,6.3
Mauritania,MRT,7.14,6.4,7.6,7.6,7.7,8,7,6.9,7.8,6.2,6.2
Mauritius,MUS,3.54,2.4,2.7,4.4,3.5,4.9,3.4,2.6,5.5,3,3
Malawi,MWI,6.07,5,6.1,6.5,7,6,5.9,5.1,6.9,6.1,6.1
Malaysia,MYS,5.01,4.3,3.8,5.6,4.4,5.1,4.4,5,6.5,5.5,5.5
Namibia,NAM,4.71,4.4,4.8,5.4,5.8,5.5,5.8,4.5,3.5,3.7,3.7
Niger,NER,6.94,7.3,6.7,6,7.7,6,6,7.6,8.5,6.8,6.8
Nigeria,NGA,7.35,8.1,7.5,7.5,6.7,6.9,7.2,7.2,8,7.2,7.2
Nicaragua,NIC,6.12,6.4,7.9,5.2,4.7,6.2,6.5,5.2,2.9,8.1,8.1
Netherlands,NLD,2.89,2.8,2.3,3,3.6,3.6,3.8,2.7,2.3,2.4,2.4
Norway,NOR,2.51,2.3,1.7,2.6,3.6,2.9,3.7,2.7,1.4,2.1,2.1
Nepal,NPL,6.24,6,6.3,7.3,6.8,6.6,6.2,6.2,3.8,6.6,6.6
Nauru,NRU,5.45,4.1,3.9,,7.6,4.6,5,,9,4.7,4.7
New Zealand,NZL,2.30,2.9,1.6,3,3.1,2.6,3.4,1.6,1.6,1.6,1.6
Oman,OMN,5.77,4.4,5.8,6.3,3.9,5.6,4.7,4.4,9.8,6.4,6.4
Pakistan,PAK,7.60,8.2,7.3,8.1,6.9,6.4,6.9,9.2,7.6,7.7,7.7
Panama,PAN,5.42,4.1,4.8,6.4,4.9,5.5,6,5.1,5,6.2,6.2
Peru,PER,5.75,5.3,5.3,6.8,5.5,6.1,5.5,5.8,4.6,6.3,6.3
Philippines,PHL,6.86,7.9,5.9,7.2,7,6.3,6.9,6.1,4.1,8.6,8.6
Palau,PLW,5.06,2.1,5.2,,3.9,3.4,6,9,6.3,4.8,4.8
Papua New Guinea,PNG,6.85,5.9,6.4,8,6.8,7.4,6.6,7.9,7.9,5.8,5.8
Poland,POL,3.80,2.8,3.2,3.8,3.4,3.4,4.6,3.3,3.1,5.2,5.2
"Korea, Dem. People’s Rep.",PRK,7.64,7.9,8.7,8.6,5.5,5.6,7.7,7.5,7.5,8.7,8.7
Portugal,PRT,2.75,2.2,2.6,3.6,3.1,3.2,3.7,2.5,1.8,2.4,2.4
Paraguay,PRY,5.88,5.4,5.8,7.7,5.3,5.5,4.9,5.8,6,6.2,6.2
West Bank and Gaza,PSX,7.52,8.5,7.1,9.6,5.6,6,6.9,8.6,,7.7,7.7
Qatar,QAT,4.83,3.7,4.7,4.4,3,5,4.1,3.6,7,6.4,6.4
Romania,ROU,4.02,3.1,3.8,4.9,4.1,3.7,3.2,3.2,4.8,4.7,4.7
Russia,RUS,6.05,7.4,6.1,5.5,4.5,5.6,4.1,6.9,5.8,7.3,7.3
Rwanda,RWA,5.66,6.1,5.8,6,6.1,6.7,5.4,5.1,3.2,6.1,6.1
Saudi Arabia,SAU,6.02,6.6,5.8,7.6,3.6,5.4,5.1,5.9,7,6.6,6.6
Sudan,SDN,8.23,8.4,8.6,9.6,8,6.9,6.5,7.7,9.4,8.6,8.6
Senegal,SEN,5.47,4.4,5.5,6.5,5.9,6.6,6,5.6,3.4,5.4,5.4
Singapore,SGP,3.70,2.5,2.8,2.8,4.6,3.9,3.8,2.1,2.9,5.8,5.8
Solomon Islands,SLB,7.22,5.8,5.9,7.1,5.9,7.2,7.5,7.3,7.9,8.8,8.8
Sierra Leone,SLE,6.25,4.1,6.3,6.3,5.9,6.5,6.2,5.3,8.9,6.5,6.5
El Salvador,SLV,5.77,6,5.8,6.5,5.2,6.4,6.2,5.5,3.5,6.3,6.3
San Marino,SMR,4.21,2.5,4,,5.6,,6.8,4.8,2.8,3.6,3.6
Somalia,SOM,8.63,9.5,9.5,9.6,9.7,8.4,7.3,8,7.3,8.5,8.5
Serbia,SRB,4.20,4.1,4.3,6.2,4.8,4.8,3.8,3.9,1.9,4.1,4.1
South Sudan,SSD,8.22,9.3,9,9.4,8.9,7.6,7.3,7.7,7,8,8
Sao Tome and Principe,STP,5.80,5,4.5,6,6.1,5.5,6.5,6.3,8.1,5,5
Suriname,SUR,5.18,4.7,5.6,5.7,4.4,5.2,6.7,5,4.1,5.2,5.2
Slovak Republic,SVK,3.24,2.6,3.1,4.3,3.1,3,2.9,2.6,4.2,3.3,3.3
Slovenia,SVN,2.78,2.2,2.5,3.1,2.9,2.8,3.9,2.4,3,2.5,2.5
Sweden,SWE,2.62,2.9,1.7,2.6,4,2.9,3.1,2.9,1.5,2.3,2.3
Eswatini,SWZ,6.91,6,7.7,8.5,5.5,6.9,5.5,5.9,8.7,7.2,7.2
Sint Maarten (Dutch part),SXM,5.41,4.5,,,3.5,9.2,8.4,4.1,,4.1,4.1
Seychelles,SYC,5.20,5.7,4.4,6,3.4,3.4,5.4,6.5,6.4,5.4,5.4
Syrian Arab Republic,SYR,8.38,8.6,9.3,9.8,6.1,8.4,7.4,7.2,9.4,8.8,8.8
Turks and Caicos Islands,TCA,4.78,4.7,6,,3.5,3.6,8.1,4.1,,4.1,4.1
Chad,TCD,7.74,8.3,9.1,8.5,7.4,7.1,6.8,7.6,7.8,7.4,7.4
Togo,TGO,6.38,6.4,7.4,6,7.1,6.4,5.5,6.4,6.4,6.1,6.1
Thailand,THA,6.28,7.2,5.4,7.8,4.4,5.5,5.2,6.7,6.8,6.9,6.9
Tajikistan,TJK,6.32,6.5,7.5,7.1,5,5.7,6.1,5.3,5.8,7.1,7.1
Turkmenistan,TKM,6.54,6,7.9,9.3,3.7,6,6.6,6,4.7,7.6,7.6
Timor-Leste,TLS,5.60,5.4,5.2,5.6,6.6,5.6,6.8,6.2,4.6,5,5
Tonga,TON,5.32,2.9,4,5.2,4.1,5.8,6.8,7.6,8,4.4,4.4
Trinidad and Tobago,TTO,4.93,5.4,4.7,5.5,4.1,5.1,6.8,5.4,3.9,4.2,4.2
Tunisia,TUN,5.55,5.9,4.7,5.4,4.3,5.9,5.6,6.6,6.3,5.4,5.4
Turkey,TUR,6.40,7.4,6.1,7,5.3,6.7,5,6.7,6.6,6.6,6.6
Tuvalu,TUV,4.99,4,3.8,8,4.7,6.5,6.9,,7.4,1.8,1.8
Tanzania,TZA,5.96,5.4,6.7,7,6.1,6.5,5.9,5.3,4.7,6,6
Uganda,UGA,6.42,6.7,6.4,6.7,7,6.3,6.2,6.2,5.1,6.8,6.8
Ukraine,UKR,5.66,6.8,5,6,5,5.7,4.5,6.1,5.7,5.9,5.9
Uruguay,URY,3.87,3.2,2.8,3.4,4.6,5.8,4.3,3.8,4.8,3,3
United States of America,USA,4.41,4.7,2.2,5.4,4.3,3.6,3.8,5.5,3.8,5.4,5.4
Uzbekistan,UZB,5.77,5.5,7,4,4,6.5,6,5.8,4.3,7.3,7.3
St. Vincent and the Grenadines,VCT,4.84,4.6,3,2.5,3.7,4.5,7.3,5.8,8.6,4.2,4.2
"Venezuela, RB",VEN,7.14,8.1,9.1,7.9,5.2,5.3,7.6,7.5,5.7,7.5,7.5
Virgin Islands (U.S.),VIR,5.01,4.7,,,3.5,6.3,8.3,4.1,,4.1,4.1
Vietnam,VNM,5.49,4.4,6.6,5.8,4.2,7.3,4.7,3.9,5,6.5,6.5
Vanuatu,VUT,5.96,2.7,4.8,7.3,5.6,7.4,6.5,7.9,6.8,5.3,5.3
Samoa,WSM,4.71,4.5,4.1,3.4,4.2,6.2,5.2,4.8,6.9,3.9,3.9
Kosovo,XKX,4.57,5.2,4.7,3.1,3.5,4.6,6.4,4.8,,4.4,4.4
"Yemen, Rep.",YEM,8.77,9.3,9.5,9,8.3,8.5,7.3,8.3,9.9,8.8,8.8
South Africa,ZAF,5.30,6.2,4.6,5.4,4.7,6,6,6.1,2.6,5.7,5.7
Zambia,ZMB,6.28,4.6,7,7.9,6.2,6,6.1,4.7,7.5,6.4,6.4
Zimbabwe,ZWE,7.12,7.4,8.7,9.1,6.3,6.7,7,6.8,4.4,7.4,7.4
